text,actual_encoded,predicted_encoded,actual_category,predicted_category
chase xxxx provide full payment history even request filing complaint loan servicer xxxx,6,5,Student loan,Mortgage
follow timeline transpire xxxx xxxx present xxxx xxxx told xxxx lose job almost year xxxx xxxx xxxx xxxx last day apply job everywhere different career job site xxxx xxxx contact job company call xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx say found resume career job board interviewed phone someone xxxx xxxx supervisor entire month email xxxx phone xxxx xxxx toll free company number give told xxxx xxxx xxxx xxxx xxxx xxxx base xxxx main headquarters new york xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx say office florida expand michigan texas would first michigan found trustworthy good job would lead michigan xxxx sign employment letter sent accept position employment letter detail compensation commission benefit told paid commission everything buy ship incentive buy ship much possible xxxx give first assignment buy product xxxx xxxx left child spring concert order soon possible would happy performance make error put personal credit card next day return purchase chase card open purpose keep separate expense etc told would put card week probation prove trustworthy would give corporate credit card put purchase give xxxx xxxx account number link chase account pay purchase account xxxx rout xxxx money account paid chase balance balance say would ship product money would come within hour chase balance would clear thought everything legitimate speaks email xxxx pretty much every day xxxx continue buying shipping use process xxxx xxxx indication problem course month ship approximately xxxx xxxx xxxx product ship xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx approximately xxxx product xxxx xxxx ship address xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx try purchase product xxxx xxxx card frozen amount activity xxxx first time see reversal money contact supervisor xxxx apologizes tell error get new account number send account number xxxx responds tell response xxxx go local chase bank find go account try use xxxx xxxx account tell invalid close try contact company day first time almost month answer return call xxxx file police report report fbi xxxx go local fbi agent xxxx xxxx xxxx xxxx also file fraud alert credit agency chase bank send email chase bank fraud dept share happen heard back certain contact heard anyone chase yet xxxx since last week week money reverse grand total xxxx product shipping contact xxxx xxxx corporate local try stop happen call florida told could file police report michigan xxxx able reach xxxx chase fraud department say flag transaction fraud issue temporary credit investigate number xxxx xxxx boss email xxxx ask forward documentation bos xxxx local police give report classify fraud forward documentation chase xxxx xxxx chase call say felt terrible sick superior classify fraud hold responsible xxxx appeal option get lawyer thanks much time help xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx,1,4,Credit card or prepaid card,"Money transfer, virtual currency, or money service"
go xxxx xxxx xxxx xxxx year xxxx xxxx get serve xxxx different bill payment later consolidated loan advise representative work company make payment taught principle young age make minimum payment many year start pay principle early xxxx time loan sell chase bank paid dollar many year well work wise could afford found hardship crash bank late xxxx xxxx could afford minimum monthly payment balance paid roughly xxxx xxxx xxxx xxxx show credit report try work wit chase continued rudely ask repayment let know company work shut work job many mile radius xxxx xxxx area take low pay service position xxxx could barley afford place live take year bounce back car payment hold full coverage single living alone another xxxx xxxx dollar month lot money chase ontinued rudely treat honest stop take call latter move back xxxx stay family start work xxxx xxxx xxxx xxxx contact xxxx xxxx representative say go wage garnish sign loan service loan xxxx xxxx balance add complain want itemization fee accumulate thought completely ludicrous balance could stipulate like loan take xxxx turn put xxxx xxxx balance less year sit roughly xxxx xxxx balance say owe else fathom right would greatly pay owe understand business loan even home foreclosure accrue interest like normal debt get charge penalty paid would fine paid combination combine interest cause never taught principle young age paid principle great deal punish unfairly economic crash happen student loan servicers take advantage hardship pay xxxx xxxx interest thrown top balance pay xxxx xxxx dollar interest paid add write early year understan maybe thousand lat fee accrue economic crash xxxx xxxx right would think could place public record make could extend credit till payment could establish make never get loan circumstance control something pay seek help cfpb please get control servicers prey american ople fall bad time like reach whole heartedly justice false fee balance say owe thank advance representation get stop get life back track scammed manipulate servicers,6,3,Student loan,Debt collection
chase manhatten mortgage corporation xxxx xxxx xxxx xxxx xxxx california xxxx chase private bank client bank xxxx telephone xxxx loan xxxx xxxx xxxx dollar state issue xxxx certification satisfaction state xxxx tax map sign xxxx xxxx vice president xxxx grantor xxxx xxxx trustee xxxx xxxx xxxx xxxx notarize xxxx xxxx xxxx city xxxx xxxx california xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx california xxxx phone xxxx prepared xxxx xxxx xxxx sole own deeded property xxxx gpin xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx clear free debt clear title clear anyone ever right property example future spouse etc record xxxx xxxx xxxx xxxx virginia divorce xxxx xxxx per deputy xxxx deed register email document xxxx entitu set chase private client account xxxx california trust wealth management service control life chase private client bank reveal identity thief want identity solely own monies reimburse account failure protect secure personal information law identity theft register ftc report since xxxx fraud activity do name ssn address phone etc reach chase xxxx left xxxx xxxx numerous voicemail email fax evidence matter ask give specific time date discus matter refuse chase rwquested financial crime specialist investigate contact chase last week response chase private client service send info relate transaction monies transfer continue climb federal agency usa locate identity thief monies,5,3,Mortgage,Debt collection
name xxxx xxxx desperate need help xxxx refinance home title company complete transaction never record discharge mortgage paid refinance also refinance time since back make mention process sell house one week closing come sell without discharge title company handle xxxx go business holder undischarged mortgage xxxx xxxx xxxx go business acquire xxxx xxxx also go business acquire chase basically xxxx anyone may documentation payoff longer exists try work chase get discharge letter hit roadblock right left sale home critical proceeds sale go daughter pay wedding serious jeopardy know sell house daughter stress cry fear wedding may ruin position rack credit card debt need cash sale furthermore family process buying house displace due problem already sell home husband wife xxxx little girl living separately relative get resolve please help victimize predatory lending practice disregard people personal well xxxx sloppy work do lawyer back hurt family today please intervene chase bank urge produce discharge letter case number chase xxxx phone number chase lien release department xxxx appreciate anything help sincerely xxxx xxxx xxxx,0,5,Checking or savings account,Mortgage
cruise xxxx xxxx try use chase debit card onxx xxxx pay bill cruise block fraud call take different call cellular company charge make call call chase explain fair block transaction manager xxxx spoke brush try transfer fraud would able help well put hold minute file complaint website also willing help unfair institution hold money need claim fraud call time international water someone help,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
account open xxxx credit limit plus unemployment xxxx insurance paid time till xxxx become ill work account balance contact insurance result xxxx contact chase bank regard closing account agree also late payment fee give opportunity settle account allow chase bank make xxxx automatic withdrawal start xxxx xxxx xxxx check account copy account automatic withdrawal enclose hope information clarifies record reestablishes mine,3,0,Debt collection,Checking or savings account
chase bank hard inquiry xxxx credit report authorize know organization inquiry credit report fraud alert attachment credit report contact anyone try apply credit never contact dispute since xxxx xxxx alert inquiry hard inquiry yet remove xxxx credit report,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
recently try write check xxxx another company check deny advise information report xxxx call xxxx advise morgan chase reporting information account chase never account call advise mom account explain suppose beneficiary cosigner advise account close nothing also state show money owe account account close state report xxxx ask documentation provide xxxx state owe money refuse credit impact ability write check pay bill impact refuse provide information get problem rectify,0,3,Checking or savings account,Debt collection
short sale first mortgage mortgage first chase chase equity chase take xxxx chase equity chase kept charge late charge kept reporting debt kept sent short sale document many time chase never reply,2,5,"Credit reporting, credit repair services, or other personal consumer reports",Mortgage
issue chase bank auto lender follow contract sign chase bank lend money auto xxxx xxxx money paid apply per contract term sign chase bank account number xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx,7,4,Vehicle loan or lease,"Money transfer, virtual currency, or money service"
